Name,Fibered,Crossing Number,Genus-3D,Arc Index,Grid Notation
10_133,Y,10,2,10,[[1;5];[1;8];[2;7];[2;10];[3;2];[3;9];[4;6];[4;10];[5;1];[5;8];[6;5];[6;9];[7;4];[7;7];[8;3];[8;6];[9;2];[9;4];[10;1];[10;3]]
10_137,Y,10,2,10,[[1;2];[1;7];[2;5];[2;9];[3;8];[3;10];[4;4];[4;9];[5;1];[5;7];[6;6];[6;10];[7;5];[7;8];[8;3];[8;6];[9;2];[9;4];[10;1];[10;3]]
10_138,Y,10,3,10,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;6];[4;5];[4;7];[5;6];[5;10];[6;1];[6;8];[7;4];[7;9];[8;7];[8;10];[9;2];[9;8];[10;5];[10;9]]
10_141,Y,10,3,10,[[1;5];[1;8];[2;7];[2;9];[3;2];[3;8];[4;6];[4;10];[5;1];[5;9];[6;5];[6;10];[7;4];[7;7];[8;3];[8;6];[9;2];[9;4];[10;1];[10;3]]
10_143,Y,10,3,10,[[1;8];[1;10];[2;2];[2;9];[3;5];[3;10];[4;1];[4;7];[5;4];[5;8];[6;6];[6;9];[7;5];[7;7];[8;3];[8;6];[9;2];[9;4];[10;1];[10;3]]
10_148,Y,10,3,10,[[1;7];[1;10];[2;2];[2;9];[3;5];[3;10];[4;1];[4;8];[5;6];[5;9];[6;4];[6;7];[7;5];[7;8];[8;3];[8;6];[9;2];[9;4];[10;1];[10;3]]
10_149,Y,10,3,10,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;6];[4;5];[4;7];[5;6];[5;10];[6;4];[6;8];[7;7];[7;9];[8;1];[8;8];[9;5];[9;10];[10;2];[10;9]]
10_150,Y,10,3,10,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;6];[4;5];[4;8];[5;6];[5;10];[6;1];[6;7];[7;4];[7;9];[8;5];[8;10];[9;2];[9;8];[10;7];[10;9]]
10_151,Y,10,3,10,[[1;5];[1;8];[2;7];[2;9];[3;2];[3;8];[4;6];[4;10];[5;4];[5;9];[6;1];[6;7];[7;5];[7;10];[8;3];[8;6];[9;2];[9;4];[10;1];[10;3]]
10_152,Y,10,4,10,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;7];[4;4];[4;8];[5;1];[5;5];[6;6];[6;9];[7;2];[7;8];[8;7];[8;10];[9;4];[9;9];[10;6];[10;10]]
10_153,Y,10,3,10,[[1;6];[1;9];[2;7];[2;10];[3;4];[3;9];[4;2];[4;8];[5;6];[5;10];[6;1];[6;5];[7;4];[7;8];[8;3];[8;7];[9;2];[9;5];[10;1];[10;3]]
10_154,Y,10,3,10,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;7];[4;4];[4;8];[5;1];[5;6];[6;5];[6;9];[7;8];[7;10];[8;4];[8;9];[9;2];[9;7];[10;6];[10;10]]
10_155,Y,10,3,10,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;6];[4;4];[4;8];[5;7];[5;10];[6;1];[6;9];[7;5];[7;8];[8;6];[8;10];[9;2];[9;7];[10;5];[10;9]]
10_156,Y,10,3,10,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;6];[4;5];[4;8];[5;1];[5;7];[6;6];[6;9];[7;4];[7;8];[8;7];[8;10];[9;2];[9;9];[10;5];[10;10]]
10_157,Y,10,3,10,[[1;2];[1;7];[2;4];[2;9];[3;1];[3;8];[4;6];[4;10];[5;3];[5;9];[6;7];[6;10];[7;5];[7;8];[8;4];[8;6];[9;2];[9;5];[10;1];[10;3]]
10_158,Y,10,3,10,[[1;2];[1;9];[2;7];[2;10];[3;4];[3;9];[4;1];[4;8];[5;6];[5;10];[6;3];[6;7];[7;5];[7;8];[8;4];[8;6];[9;2];[9;5];[10;1];[10;3]]
10_159,Y,10,3,10,[[1;4];[1;8];[2;6];[2;10];[3;5];[3;9];[4;2];[4;7];[5;4];[5;10];[6;1];[6;8];[7;6];[7;9];[8;3];[8;7];[9;2];[9;5];[10;1];[10;3]]
10_163,Y,10,3,10,[[1;2];[1;6];[2;4];[2;8];[3;7];[3;10];[4;1];[4;9];[5;5];[5;10];[6;3];[6;8];[7;6];[7;9];[8;4];[8;7];[9;2];[9;5];[10;1];[10;3]]
11n_12,Y,11,2,10,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;6];[4;5];[4;9];[5;1];[5;8];[6;7];[6;10];[7;6];[7;9];[8;4];[8;8];[9;2];[9;7];[10;5];[10;10]]
11n_23,Y,11,4,10,[[1;2];[1;8];[2;6];[2;9];[3;7];[3;10];[4;4];[4;8];[5;1];[5;5];[6;3];[6;9];[7;6];[7;10];[8;4];[8;7];[9;2];[9;5];[10;1];[10;3]]
11n_24,Y,11,3,10,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;6];[4;5];[4;9];[5;7];[5;10];[6;1];[6;8];[7;4];[7;9];[8;6];[8;10];[9;2];[9;7];[10;5];[10;8]]
11n_27,Y,11,4,10,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;8];[4;6];[4;9];[5;7];[5;10];[6;4];[6;8];[7;1];[7;5];[8;2];[8;9];[9;6];[9;10];[10;4];[10;7]]
11n_37,Y,11,3,10,[[1;2];[1;7];[2;5];[2;8];[3;6];[3;10];[4;1];[4;9];[5;7];[5;10];[6;4];[6;8];[7;5];[7;9];[8;3];[8;6];[9;2];[9;4];[10;1];[10;3]]
